Id,employeenumber,WFO,WFH,Travel,Leaves,NoSwipe,month,year,is_active,CreatedBy,ModifiedBy,CreatedDate,ModifiedDate
1,35581584,10,0,0,0,1,4,2025,1,34852320,34852320,2025-07-16 13:45:51.840,2025-07-16 14:08:44.797
2,35581584,17,1,0,1,3,5,2025,1,34852320,34852320,2025-07-16 13:45:51.840,2025-07-16 14:08:44.797
3,35581584,15,4,0,0,2,6,2025,1,34852320,34852320,2025-07-16 13:45:51.840,2025-07-16 14:08:44.797
4,35581584,19,0,0,0,4,7,2025,1,34852320,34852320,2025-07-16 13:45:51.840,2025-08-19 09:50:20.677
5,28301564,4,0,0,0,0,5,2025,1,34852320,NULL,2025-07-16 13:47:50.637,NULL
6,28301564,15,0,0,0,6,6,2025,1,34852320,NULL,2025-07-16 13:47:50.637,NULL
7,28301564,16,0,0,0,7,7,2025,1,34852320,34852320,2025-07-16 13:47:50.637,2025-08-19 10:42:17.293
8,34184490,7,0,0,2,2,4,2025,1,34852320,34852320,2025-07-16 13:54:22.013,2025-07-16 14:07:07.173
9,34184490,12,5,0,2,3,5,2025,1,34852320,34852320,2025-07-16 13:54:22.013,2025-07-16 14:07:07.173
10,34184490,15,0,0,2,4,6,2025,1,34852320,34852320,2025-07-16 13:54:22.013,2025-07-16 14:07:07.173
11,34184490,17,0,0,1,5,7,2025,1,34852320,34852320,2025-07-16 13:54:22.013,2025-08-13 15:48:11.743
12,35580530,10,0,0,0,1,4,2025,1,34852320,34852320,2025-07-16 14:15:16.533,2025-07-16 14:16:36.597
13,35580530,17,1,0,2,2,5,2025,1,34852320,34852320,2025-07-16 14:15:16.533,2025-07-16 14:16:36.597
14,35580530,20,0,0,0,1,6,2025,1,34852320,34852320,2025-07-16 14:15:16.533,2025-07-16 14:16:36.597
15,35580530,16,0,0,1,6,7,2025,1,34852320,34852320,2025-07-16 14:15:16.533,2025-08-13 15:33:10.430
16,35017285,14,1,0,2,7,7,2025,1,34852320,34852320,2025-07-16 14:23:54.800,2025-08-19 11:44:28.607
17,35489300,17,0,0,0,6,7,2025,1,34852320,34852320,2025-07-18 12:40:51.420,2025-08-19 10:45:56.870
18,35230758,0,5,0,5,8,7,2025,1,34852320,34852320,2025-07-18 12:41:36.060,2025-07-18 12:41:36.123
19,35222286,9,0,0,0,4,7,2025,1,34852320,34852320,2025-07-18 12:41:51.140,2025-07-18 12:41:51.280
20,34492861,10,0,0,0,3,7,2025,1,34852320,34852320,2025-07-18 12:42:02.153,2025-07-18 12:42:11.547
21,30583315,8,0,0,2,3,7,2025,1,34852320,34852320,2025-07-18 12:42:13.263,2025-07-18 12:42:13.343
22,35126023,11,0,0,0,2,7,2025,1,34852320,34852320,2025-07-18 12:42:53.390,2025-07-18 12:42:53.530
23,35802186,13,0,0,3,7,7,2025,1,34852320,34852320,2025-07-18 12:43:31.483,2025-08-19 11:49:38.300
24,35802248,9,0,0,0,4,7,2025,1,34852320,34852320,2025-07-18 12:43:51.560,2025-07-18 12:44:12.310
25,31015543,13,0,0,3,7,7,2025,1,34852320,34852320,2025-07-18 12:43:55.873,2025-08-19 09:58:06.617
26,30353135,10,3,0,5,8,7,2025,1,34852320,34852320,2025-07-18 12:44:48.560,2025-08-06 08:23:38.567
27,31625910,15,0,0,3,5,7,2025,1,34852320,34852320,2025-07-18 12:44:51.187,2025-08-19 09:08:11.780
28,34473908,14,1,0,2,7,7,2025,1,34852320,34852320,2025-07-18 12:45:09.953,2025-08-19 11:51:28.783
29,32596539,20,0,0,0,3,7,2025,1,34852320,34852320,2025-07-18 12:45:14.343,2025-08-06 12:30:26.420
30,34936197,9,3,1,5,7,7,2025,1,34852320,34852320,2025-07-18 12:45:41.920,2025-08-11 08:23:51.770
31,33546360,12,0,0,0,1,7,2025,1,34852320,34852320,2025-07-18 12:46:24.513,2025-07-18 12:47:14.123
32,35250165,7,0,0,2,4,7,2025,1,34852320,34852320,2025-07-18 12:46:30.047,2025-07-18 12:46:30.203
33,36063669,5,0,0,0,0,7,2025,1,34852320,34852320,2025-07-18 12:47:06.657,2025-07-18 12:47:06.763
34,32673571,0,19,0,0,4,7,2025,1,34852320,34852320,2025-07-18 12:47:20.110,2025-08-18 16:42:17.323
35,35433815,12,1,0,4,7,7,2025,1,34852320,34852320,2025-07-18 12:47:23.983,2025-08-19 11:04:40.280
36,35087048,20,0,0,0,3,7,2025,1,34852320,34852320,2025-07-18 12:48:08.780,2025-08-08 07:56:36.973
37,34137782,14,1,0,2,7,7,2025,1,34852320,34852320,2025-07-18 12:48:18.030,2025-08-19 09:30:56.370
38,35315774,12,2,0,4,7,7,2025,1,34852320,34852320,2025-07-18 12:48:29.203,2025-08-18 19:39:43.060
39,35089545,11,0,0,1,1,7,2025,1,34852320,34852320,2025-07-18 12:48:35.797,2025-07-18 12:50:15.483
40,35118489,7,0,0,2,4,7,2025,1,34852320,34852320,2025-07-18 12:48:50.343,2025-07-18 12:48:50.453
